packet_size,inter_arrival_time,packet_rate,connection_duration,failed_logins,label
499,0.041,105,24,0,normal
547,0.017,119,24,0,normal
514,0.047,113,19,0,normal
548,0.015,103,16,0,normal
489,0.013,131,20,0,normal
536,0.023,145,17,0,normal
489,0.013,130,18,0,normal
510,0.017,117,24,0,normal
509,0.014,126,15,0,normal
489,0.029,124,19,0,normal
493,0.049,124,19,0,normal
498,0.021,109,21,0,normal
482,0.01,107,19,0,normal
526,0.041,145,18,0,normal
493,0.038,120,17,0,normal
1700,0.584,881,4,10,attack
547,0.036,127,17,0,normal
530,0.028,130,16,0,normal
519,0.032,137,17,1,normal
542,0.025,123,24,0,normal
1663,0.563,875,4,10,attack
1475,0.514,982,4,9,attack
532,0.041,122,16,0,normal
488,0.044,119,23,0,normal
524,0.03,125,24,0,normal
545,0.026,100,22,0,normal
535,0.029,125,23,0,normal
1589,0.484,912,3,8,attack
516,0.014,137,16,0,normal
519,0.027,126,16,0,normal
547,0.028,142,17,0,normal
536,0.037,126,21,0,normal
1767,0.594,868,3,7,attack
502,0.04,132,19,1,normal
507,0.024,103,21,0,normal
540,0.031,135,23,0,normal
533,0.018,114,19,0,normal
1761,0.516,810,2,14,attack
539,0.021,140,19,0,normal
498,0.014,135,19,0,normal
549,0.047,132,22,0,normal
503,0.021,110,24,0,normal
1788,0.51,982,2,8,attack
530,0.043,123,17,0,normal
502,0.027,137,24,0,normal
1473,0.432,800,3,11,attack
528,0.046,112,19,0,normal
518,0.034,137,22,0,normal
536,0.014,115,15,0,normal
545,0.019,138,23,0,normal
1628,0.419,987,3,11,attack
508,0.028,140,20,0,normal
488,0.036,119,15,0,normal
538,0.016,109,15,0,normal
1440,0.555,901,3,13,attack
538,0.032,112,16,0,normal
513,0.026,138,23,0,normal
504,0.027,111,18,0,normal
534,0.04,117,23,0,normal
488,0.023,111,19,0,normal
483,0.02,106,24,0,normal
526,0.011,147,24,0,normal
531,0.045,143,17,0,normal
548,0.024,120,16,0,normal
500,0.021,125,16,0,normal
1538,0.609,939,3,13,attack
529,0.032,122,16,0,normal
488,0.033,128,15,0,normal
487,0.042,112,22,0,normal
1788,0.408,956,1,8,attack
1657,0.548,918,2,9,attack
517,0.044,103,22,0,normal
1757,0.652,841,1,10,attack
514,0.045,130,15,0,normal
546,0.029,114,24,1,normal
510,0.013,109,21,0,normal
520,0.033,111,18,0,normal
1527,0.467,859,4,9,attack
505,0.047,149,15,0,normal
507,0.044,124,16,0,normal
513,0.032,128,17,0,normal
535,0.032,136,20,0,normal
496,0.032,132,20,0,normal
540,0.019,140,23,0,normal
533,0.03,110,19,0,normal
493,0.042,119,21,0,normal
527,0.026,136,18,0,normal
495,0.013,105,22,0,normal
1778,0.685,828,3,7,attack
482,0.02,112,21,0,normal
506,0.034,122,22,0,normal
542,0.026,114,15,0,normal
510,0.01,148,22,0,normal
530,0.03,110,17,0,normal
1767,0.599,896,1,13,attack
504,0.026,147,19,0,normal
546,0.045,148,20,0,normal
532,0.04,107,17,0,normal
534,0.025,126,15,0,normal
544,0.028,102,20,0,normal
1475,0.61,954,1,13,attack
518,0.036,101,22,1,normal
490,0.02,112,16,0,normal
538,0.022,145,19,0,normal
499,0.044,112,16,0,normal
1610,0.693,822,3,12,attack
1680,0.663,912,4,7,attack
540,0.019,136,17,0,normal
538,0.025,111,22,0,normal
487,0.019,143,24,0,normal
1467,0.667,898,1,5,attack
536,0.037,147,19,0,normal
1797,0.547,966,2,8,attack
532,0.039,104,16,0,normal
530,0.024,117,18,0,normal
1726,0.605,834,3,8,attack
540,0.05,118,16,0,normal
508,0.025,142,17,1,normal
516,0.039,137,17,0,normal
489,0.026,100,19,0,normal
547,0.039,102,23,0,normal
526,0.028,146,19,0,normal
540,0.031,123,24,0,normal
1483,0.414,809,4,13,attack
492,0.039,142,20,0,normal
504,0.013,114,18,0,normal
520,0.026,131,19,0,normal
515,0.027,143,17,0,normal
508,0.043,138,23,0,normal
495,0.024,134,22,0,normal
495,0.013,127,23,0,normal
526,0.047,140,15,0,normal
532,0.032,111,22,0,normal
510,0.031,144,24,1,normal
483,0.046,141,21,0,normal
1475,0.646,841,4,13,attack
509,0.032,104,19,0,normal
1708,0.635,966,3,5,attack
493,0.027,121,16,0,normal
504,0.016,142,16,0,normal
499,0.031,142,23,0,normal
537,0.042,133,19,0,normal
540,0.027,125,23,0,normal
537,0.031,130,15,0,normal
489,0.048,110,19,0,normal
1592,0.594,846,4,14,attack
544,0.025,138,23,0,normal
525,0.024,129,15,0,normal
1697,0.609,867,4,12,attack
549,0.042,141,16,0,normal
505,0.026,144,18,0,normal
524,0.038,129,17,0,normal
1780,0.593,995,1,11,attack
502,0.025,143,24,0,normal
549,0.034,140,23,1,normal
536,0.012,102,23,0,normal
494,0.03,119,20,0,normal
1776,0.532,823,3,9,attack
1700,0.626,851,1,11,attack
530,0.012,122,21,0,normal
524,0.038,141,23,0,normal
541,0.042,111,22,1,normal
543,0.011,132,18,0,normal
536,0.017,102,16,0,normal
515,0.046,103,23,0,normal
527,0.017,111,24,0,normal
1778,0.618,926,1,7,attack
509,0.017,132,24,0,normal
518,0.015,113,16,0,normal
522,0.016,146,15,1,normal
523,0.038,123,20,0,normal
549,0.014,107,21,0,normal
1623,0.67,894,4,12,attack
1469,0.572,888,4,5,attack
486,0.035,120,16,0,normal
523,0.018,112,16,0,normal
520,0.019,111,17,0,normal
488,0.012,149,17,0,normal
1735,0.534,964,3,13,attack
530,0.034,130,24,0,normal
1502,0.544,878,2,6,attack
1792,0.581,940,2,13,attack
1694,0.514,979,1,12,attack
520,0.021,126,18,0,normal
508,0.039,147,24,0,normal
534,0.032,103,21,0,normal
529,0.041,103,17,1,normal
491,0.046,110,15,0,normal
509,0.031,115,17,0,normal
1654,0.603,865,2,12,attack
1779,0.613,961,1,13,attack
1488,0.67,808,1,7,attack
528,0.016,120,15,0,normal
1442,0.599,915,4,5,attack
1621,0.692,820,2,5,attack
490,0.014,134,18,0,normal
512,0.014,111,15,0,normal
505,0.048,132,22,0,normal
524,0.034,111,21,0,normal
1531,0.695,968,2,8,attack
1629,0.494,977,1,7,attack
485,0.027,130,18,0,normal
508,0.025,120,22,0,normal
1696,0.451,860,2,6,attack
480,0.03,121,20,0,normal
547,0.027,136,15,0,normal
504,0.03,146,16,0,normal
549,0.029,109,18,0,normal
1521,0.614,887,3,12,attack
1623,0.697,800,3,8,attack
1773,0.587,923,1,10,attack
528,0.039,135,16,0,normal
505,0.024,115,15,0,normal
544,0.048,124,24,0,normal
484,0.038,124,21,0,normal
482,0.023,149,17,0,normal
512,0.011,138,23,0,normal
549,0.015,110,16,0,normal
547,0.048,131,20,0,normal
531,0.042,109,21,0,normal
500,0.035,128,20,0,normal
529,0.044,132,19,0,normal
538,0.026,144,19,0,normal
536,0.037,145,17,0,normal
480,0.047,143,19,0,normal
541,0.04,148,21,0,normal
1762,0.622,980,3,11,attack
495,0.048,125,21,0,normal
491,0.03,124,20,0,normal
498,0.012,121,16,0,normal
515,0.032,126,16,0,normal
480,0.039,131,15,0,normal
1689,0.629,821,1,10,attack
496,0.016,136,16,0,normal
501,0.02,143,21,0,normal
496,0.039,141,19,0,normal
515,0.032,146,23,0,normal
485,0.023,123,21,0,normal
537,0.038,120,18,0,normal
1428,0.699,837,2,9,attack
1763,0.43,841,3,11,attack
1740,0.437,935,2,11,attack
547,0.023,131,15,0,normal
1512,0.687,800,2,8,attack
499,0.037,101,19,0,normal
533,0.022,128,19,0,normal
1747,0.437,959,4,6,attack
527,0.025,102,21,0,normal
542,0.031,120,22,0,normal
536,0.049,117,16,0,normal
522,0.017,102,21,0,normal
1471,0.488,812,4,6,attack
1750,0.556,985,3,12,attack
538,0.012,124,16,0,normal
504,0.031,117,20,0,normal
492,0.05,138,16,0,normal
541,0.026,124,17,0,normal
1606,0.558,878,3,7,attack
486,0.038,138,21,0,normal
507,0.02,100,21,0,normal
518,0.036,137,18,1,normal
1632,0.615,936,2,13,attack
526,0.019,131,20,0,normal
509,0.045,148,19,0,normal
507,0.029,120,20,0,normal
546,0.02,136,18,0,normal
544,0.039,118,18,0,normal
526,0.032,143,19,0,normal
541,0.034,127,15,0,normal
1670,0.504,827,1,5,attack
528,0.036,134,15,0,normal
1571,0.632,813,2,8,attack
1416,0.591,920,2,5,attack
496,0.02,148,19,0,normal
1480,0.673,911,1,10,attack
503,0.036,110,19,0,normal
545,0.049,138,23,0,normal
531,0.029,144,19,0,normal
1486,0.533,986,2,6,attack
549,0.03,102,23,0,normal
542,0.016,148,16,0,normal
544,0.027,139,16,0,normal
1428,0.423,816,4,7,attack
1750,0.661,893,2,12,attack
491,0.021,116,16,0,normal
487,0.049,119,15,0,normal
542,0.023,145,22,0,normal
496,0.024,100,24,0,normal
1543,0.687,853,3,12,attack
1693,0.419,992,2,10,attack
1779,0.505,823,1,7,attack
506,0.046,101,18,0,normal
543,0.04,136,24,0,normal
485,0.041,135,16,0,normal
515,0.02,143,15,0,normal
483,0.022,135,22,0,normal
504,0.038,100,18,0,normal
540,0.022,128,22,0,normal
522,0.016,121,18,0,normal
487,0.018,123,22,0,normal
546,0.031,108,21,0,normal
1547,0.488,968,4,8,attack
1760,0.67,909,2,5,attack
533,0.033,103,17,0,normal
494,0.022,120,15,0,normal
543,0.032,135,20,0,normal
510,0.028,120,19,0,normal
493,0.035,106,17,0,normal
1795,0.561,869,3,13,attack
528,0.05,125,15,0,normal
529,0.033,102,17,0,normal
480,0.01,101,20,0,normal
1638,0.652,877,2,14,attack
526,0.041,130,23,0,normal
1685,0.595,912,2,10,attack
542,0.037,117,20,0,normal
549,0.028,118,16,0,normal
534,0.021,108,15,0,normal
548,0.03,100,24,0,normal
1441,0.59,978,1,5,attack
1402,0.522,809,4,9,attack
515,0.029,119,23,0,normal
538,0.043,136,16,0,normal
519,0.041,114,17,0,normal
519,0.027,140,24,0,normal
539,0.046,109,23,0,normal
523,0.032,118,20,1,normal
521,0.046,117,23,0,normal
539,0.037,135,21,0,normal
503,0.018,106,20,0,normal
506,0.013,107,18,0,normal
510,0.012,130,23,0,normal
510,0.023,112,16,0,normal
535,0.042,101,16,0,normal
1504,0.52,974,3,5,attack
502,0.012,145,19,0,normal
529,0.042,121,22,0,normal
547,0.024,136,18,0,normal
502,0.02,123,23,0,normal
1555,0.515,998,1,7,attack
524,0.015,129,18,0,normal
483,0.028,120,23,0,normal
1554,0.621,899,1,14,attack
485,0.041,129,15,0,normal
515,0.05,146,19,0,normal
504,0.015,111,24,0,normal
1609,0.593,869,1,11,attack
526,0.022,135,16,1,normal
1705,0.658,925,2,12,attack
505,0.046,130,15,0,normal
495,0.048,117,16,0,normal
529,0.033,118,23,0,normal
503,0.047,126,20,0,normal
1507,0.512,881,1,8,attack
542,0.019,108,20,0,normal
540,0.038,110,24,0,normal
500,0.048,116,21,0,normal
501,0.011,144,24,0,normal
1696,0.459,898,3,14,attack
480,0.041,148,18,0,normal
490,0.03,101,20,0,normal
497,0.013,144,18,0,normal
519,0.027,113,24,0,normal
523,0.026,141,24,0,normal
536,0.048,113,20,0,normal
548,0.046,115,18,0,normal
1689,0.574,850,2,14,attack
496,0.042,122,16,0,normal
1782,0.46,806,1,11,attack
528,0.038,118,23,0,normal
1713,0.491,961,4,13,attack
1687,0.555,833,3,12,attack
499,0.019,139,18,0,normal
1682,0.637,875,4,10,attack
1455,0.582,926,3,11,attack
492,0.044,145,20,0,normal
1693,0.608,807,4,9,attack
1474,0.564,825,4,5,attack
492,0.032,132,18,0,normal
527,0.032,124,23,0,normal
530,0.024,123,20,0,normal
1411,0.694,960,2,6,attack
526,0.013,139,19,0,normal
1664,0.604,963,1,5,attack
537,0.024,136,16,0,normal
1467,0.581,892,1,11,attack
530,0.044,101,20,0,normal
1662,0.558,881,4,8,attack
1417,0.431,989,3,13,attack
543,0.036,141,15,0,normal
1672,0.431,898,1,12,attack
507,0.014,148,18,1,normal
508,0.026,140,16,0,normal
495,0.017,105,19,0,normal
497,0.027,108,21,0,normal
513,0.036,109,21,0,normal
1644,0.448,866,1,7,attack
545,0.021,138,20,0,normal
516,0.015,125,23,0,normal
523,0.014,100,18,0,normal
529,0.011,117,20,0,normal
486,0.018,120,20,0,normal
1578,0.514,917,3,5,attack
506,0.025,118,20,0,normal
534,0.024,101,15,0,normal
533,0.049,149,24,0,normal
510,0.047,104,17,0,normal
521,0.042,141,23,0,normal
481,0.015,124,18,0,normal
535,0.013,113,16,0,normal
1631,0.473,914,3,5,attack
480,0.011,142,15,0,normal
524,0.034,110,19,0,normal
1447,0.568,845,1,12,attack
1582,0.697,939,3,6,attack
522,0.023,104,21,0,normal
1455,0.487,941,1,13,attack
502,0.031,113,24,0,normal
524,0.046,122,21,0,normal
525,0.042,119,21,0,normal
528,0.018,104,21,0,normal
524,0.011,142,23,0,normal
484,0.026,103,19,1,normal
482,0.029,132,18,0,normal
1746,0.435,864,2,10,attack
1663,0.564,928,4,8,attack
541,0.03,103,15,0,normal
1798,0.602,865,4,5,attack
525,0.044,136,22,0,normal
548,0.028,107,23,0,normal
505,0.038,112,24,0,normal
516,0.028,105,24,0,normal
1459,0.693,986,2,13,attack
1751,0.554,947,1,9,attack
536,0.033,113,16,0,normal
523,0.047,131,17,0,normal
491,0.023,106,23,0,normal
489,0.031,127,16,0,normal
515,0.046,129,20,1,normal
544,0.023,142,16,0,normal
1732,0.592,988,1,9,attack
1671,0.579,944,1,7,attack
542,0.023,138,16,0,normal
1795,0.423,967,2,6,attack
538,0.039,113,20,0,normal
545,0.022,138,16,0,normal
537,0.032,118,21,0,normal
528,0.025,136,22,0,normal
504,0.048,123,18,1,normal
1433,0.649,957,1,9,attack
512,0.024,106,20,0,normal
495,0.029,118,21,0,normal
531,0.032,122,18,0,normal
503,0.021,102,20,0,normal
1580,0.677,921,4,11,attack
1704,0.652,866,1,13,attack
1723,0.54,924,1,8,attack
1560,0.403,866,2,14,attack
539,0.02,121,20,0,normal
541,0.027,142,18,0,normal
491,0.019,109,21,0,normal
1432,0.505,806,4,11,attack
1495,0.595,814,4,13,attack
513,0.041,113,22,0,normal
492,0.04,109,21,0,normal
490,0.042,114,16,0,normal
486,0.015,120,20,0,normal
1746,0.647,980,2,14,attack
1481,0.494,838,4,6,attack
512,0.016,100,21,0,normal
537,0.011,146,15,0,normal
523,0.014,128,15,0,normal
538,0.038,119,20,0,normal
1431,0.568,952,3,8,attack
503,0.035,114,24,0,normal
540,0.033,140,17,0,normal
482,0.028,108,16,0,normal
489,0.029,116,22,0,normal
1520,0.637,912,2,9,attack
520,0.035,136,21,0,normal
508,0.036,147,17,0,normal
532,0.044,133,22,0,normal
490,0.03,145,24,0,normal
536,0.034,144,21,0,normal
1480,0.524,946,1,10,attack
538,0.043,143,24,0,normal
535,0.029,128,15,0,normal
1703,0.455,833,1,5,attack
1589,0.655,878,3,6,attack
487,0.037,114,22,0,normal
534,0.033,104,17,0,normal
1446,0.489,910,4,10,attack
481,0.015,123,22,0,normal
527,0.048,146,17,0,normal
523,0.015,115,22,0,normal
535,0.021,139,18,0,normal
523,0.041,109,15,0,normal
505,0.033,110,22,0,normal
499,0.025,121,20,0,normal
542,0.036,130,15,0,normal
529,0.046,119,16,0,normal
487,0.011,123,23,0,normal
1760,0.612,989,4,14,attack
504,0.044,144,17,0,normal
490,0.02,124,20,0,normal
1755,0.485,980,1,6,attack
501,0.036,112,17,0,normal
538,0.034,142,18,0,normal
503,0.042,130,24,0,normal
1437,0.609,956,2,5,attack
1704,0.472,851,1,6,attack
529,0.035,106,23,0,normal
1439,0.407,916,1,12,attack
517,0.035,122,24,0,normal
547,0.036,119,17,0,normal
527,0.033,115,17,0,normal
500,0.036,145,23,0,normal
485,0.01,104,17,0,normal
539,0.024,145,18,0,normal
1698,0.668,889,1,12,attack
488,0.035,119,19,0,normal
518,0.046,109,17,0,normal
1701,0.662,926,4,12,attack
504,0.033,111,20,0,normal
541,0.024,146,18,0,normal
491,0.035,148,22,0,normal
1448,0.412,803,1,5,attack
525,0.041,140,16,0,normal
538,0.042,108,21,0,normal
539,0.02,136,15,0,normal
489,0.035,111,22,0,normal
516,0.02,140,23,0,normal
539,0.015,131,16,0,normal
1542,0.634,951,3,7,attack
498,0.047,149,19,1,normal
1618,0.538,842,2,11,attack
483,0.018,137,21,0,normal
517,0.012,103,23,0,normal
522,0.011,110,24,0,normal
1712,0.431,928,1,5,attack
521,0.047,108,21,0,normal
490,0.042,116,22,0,normal
526,0.025,136,18,0,normal
489,0.046,147,17,0,normal
507,0.015,131,22,0,normal
482,0.013,144,15,0,normal
515,0.036,146,18,0,normal
1739,0.637,867,2,14,attack
1519,0.529,916,2,9,attack
521,0.034,140,21,0,normal
480,0.049,104,15,0,normal
489,0.042,140,17,0,normal
1539,0.675,892,4,7,attack
1640,0.636,835,4,7,attack
534,0.049,111,21,0,normal
515,0.016,114,23,0,normal
496,0.013,119,24,0,normal
485,0.021,114,21,0,normal
1405,0.551,972,3,10,attack
541,0.046,124,20,0,normal
491,0.044,143,19,0,normal
482,0.033,147,24,0,normal
528,0.023,110,15,0,normal
509,0.012,144,18,0,normal
494,0.039,130,15,0,normal
1773,0.62,809,2,11,attack
495,0.021,118,19,0,normal
535,0.049,112,24,0,normal
519,0.025,102,15,0,normal
526,0.022,107,22,0,normal
529,0.014,142,21,0,normal
502,0.032,141,22,0,normal
495,0.014,147,21,0,normal
1748,0.415,964,1,14,attack
1656,0.502,880,1,6,attack
508,0.033,121,19,0,normal
525,0.048,121,18,0,normal
500,0.041,118,21,0,normal
542,0.028,104,19,0,normal
548,0.035,116,21,0,normal
509,0.024,137,19,1,normal
513,0.025,135,17,0,normal
1712,0.449,915,4,5,attack
514,0.014,101,16,0,normal
498,0.013,102,22,0,normal
530,0.03,133,17,0,normal
520,0.03,123,16,0,normal
1612,0.576,891,3,14,attack
533,0.037,146,16,0,normal
488,0.038,138,24,0,normal
1574,0.468,960,3,6,attack
482,0.038,131,20,0,normal
516,0.023,116,23,0,normal
1404,0.447,844,4,12,attack
541,0.05,102,21,0,normal
511,0.039,147,24,0,normal
541,0.039,141,24,0,normal
499,0.043,141,22,0,normal
1527,0.432,849,4,7,attack
513,0.032,102,24,0,normal
505,0.049,104,20,1,normal
515,0.032,113,22,0,normal
1588,0.549,807,2,13,attack
505,0.02,118,16,0,normal
1583,0.675,907,1,6,attack
1710,0.651,803,4,6,attack
524,0.026,136,17,0,normal
526,0.02,132,20,0,normal
1677,0.51,924,1,9,attack
492,0.042,121,18,1,normal
541,0.049,102,21,0,normal
489,0.02,110,21,0,normal
500,0.028,122,21,0,normal
487,0.032,132,17,0,normal
1463,0.632,972,4,5,attack
540,0.036,108,24,0,normal
1687,0.654,938,4,9,attack
518,0.014,103,18,0,normal
1555,0.488,852,2,12,attack
506,0.02,126,16,0,normal
486,0.01,113,18,0,normal
1600,0.647,840,3,8,attack
491,0.018,137,18,0,normal
495,0.025,112,21,0,normal
1426,0.695,903,1,6,attack
529,0.039,144,16,1,normal
1453,0.577,812,3,14,attack
497,0.033,131,15,0,normal
540,0.019,119,23,0,normal
511,0.05,130,20,0,normal
509,0.047,103,20,0,normal
501,0.017,119,21,0,normal
1681,0.603,863,1,9,attack
523,0.016,115,18,0,normal
549,0.028,104,15,0,normal
1500,0.48,892,2,10,attack
549,0.016,112,18,0,normal
1675,0.423,835,1,5,attack
1736,0.524,832,1,5,attack
515,0.017,145,15,0,normal
484,0.014,125,21,0,normal
509,0.036,101,19,0,normal
546,0.028,142,18,0,normal
514,0.043,132,15,0,normal
1458,0.417,826,3,7,attack
1591,0.464,863,2,9,attack
501,0.011,138,21,0,normal
508,0.01,145,22,0,normal
499,0.02,136,23,0,normal
528,0.049,127,19,0,normal
510,0.017,109,24,0,normal
546,0.025,147,23,0,normal
506,0.048,132,19,0,normal
549,0.029,118,21,0,normal
1491,0.548,821,1,9,attack
531,0.014,147,24,0,normal
537,0.048,110,19,0,normal
497,0.028,102,20,0,normal
505,0.011,121,24,1,normal
487,0.039,119,24,0,normal
1645,0.431,927,3,5,attack
520,0.046,114,22,0,normal
545,0.047,124,20,0,normal
515,0.032,114,21,0,normal
1594,0.502,867,3,8,attack
497,0.049,117,21,0,normal
541,0.01,133,20,0,normal
515,0.039,111,16,0,normal
546,0.049,147,16,0,normal
1559,0.497,954,1,5,attack
1524,0.595,890,3,13,attack
1621,0.5,820,2,14,attack
500,0.037,133,24,0,normal
543,0.046,129,19,0,normal
510,0.011,106,17,0,normal
543,0.04,131,20,0,normal
513,0.038,115,24,0,normal
520,0.029,104,24,0,normal
499,0.036,135,23,0,normal
1579,0.538,917,4,6,attack
483,0.011,111,24,0,normal
1620,0.543,970,1,14,attack
498,0.013,140,24,0,normal
1513,0.609,839,3,9,attack
508,0.014,134,16,0,normal
542,0.021,142,19,0,normal
1782,0.451,980,1,5,attack
1567,0.527,865,1,10,attack
483,0.048,112,18,0,normal
530,0.043,127,22,0,normal
500,0.032,144,17,0,normal
533,0.036,146,22,0,normal
525,0.03,138,22,0,normal
480,0.033,137,15,0,normal
1417,0.401,818,3,5,attack
491,0.046,117,16,0,normal
506,0.037,112,24,0,normal
499,0.048,114,15,0,normal
518,0.017,145,19,0,normal
530,0.018,140,17,0,normal
514,0.04,108,15,0,normal
521,0.028,128,22,0,normal
497,0.048,108,24,0,normal
489,0.033,102,23,0,normal
484,0.047,103,21,0,normal
532,0.035,101,20,0,normal
543,0.049,144,24,0,normal
1591,0.568,880,3,8,attack
520,0.045,129,18,0,normal
497,0.013,125,22,0,normal
1660,0.534,829,3,9,attack
495,0.021,121,20,0,normal
1708,0.699,902,3,8,attack
493,0.03,105,19,0,normal
485,0.021,109,24,0,normal
506,0.017,142,16,0,normal
1678,0.458,840,2,9,attack
485,0.011,105,24,0,normal
511,0.023,139,20,0,normal
491,0.049,139,18,0,normal
504,0.013,130,22,1,normal
546,0.031,135,15,0,normal
517,0.039,107,16,0,normal
1696,0.548,806,1,8,attack
1491,0.64,945,3,13,attack
498,0.041,104,15,0,normal
542,0.04,113,15,0,normal
496,0.021,138,16,0,normal
507,0.028,136,20,0,normal
506,0.046,113,20,0,normal
484,0.05,137,18,0,normal
1689,0.588,896,3,13,attack
535,0.043,122,22,0,normal
501,0.011,131,20,0,normal
1467,0.653,955,2,5,attack
530,0.031,122,24,0,normal
1430,0.492,871,1,9,attack
1545,0.401,991,1,8,attack
1537,0.641,969,1,14,attack
1794,0.439,843,1,9,attack
542,0.028,136,19,0,normal
1746,0.697,824,4,14,attack
531,0.039,104,21,0,normal
529,0.026,103,20,0,normal
500,0.036,107,19,0,normal
513,0.039,138,24,0,normal
489,0.029,100,17,0,normal
503,0.012,149,18,1,normal
534,0.048,106,20,1,normal
548,0.024,146,23,0,normal
1728,0.5,980,2,11,attack
515,0.04,105,16,0,normal
490,0.029,123,16,0,normal
531,0.018,104,21,0,normal
1437,0.453,812,4,14,attack
1698,0.685,891,3,6,attack
500,0.029,100,19,0,normal
1440,0.575,917,3,10,attack
491,0.029,128,20,0,normal
505,0.044,123,22,0,normal
1464,0.495,941,3,14,attack
509,0.03,104,15,0,normal
1657,0.636,895,1,10,attack
544,0.019,142,19,0,normal
480,0.022,144,17,0,normal
1598,0.656,850,3,10,attack
1420,0.695,952,2,14,attack
481,0.039,117,21,0,normal
539,0.042,126,18,1,normal
488,0.047,126,17,0,normal
1541,0.58,925,2,9,attack
505,0.018,126,19,0,normal
1605,0.585,946,2,8,attack
502,0.038,139,24,0,normal
488,0.043,125,24,0,normal
549,0.046,140,18,0,normal
504,0.027,118,16,0,normal
522,0.037,120,17,0,normal
1694,0.573,996,3,11,attack
520,0.014,147,21,0,normal
1637,0.621,854,3,13,attack
1798,0.516,840,3,14,attack
532,0.023,132,17,0,normal
520,0.047,141,18,0,normal
513,0.022,123,17,0,normal
1755,0.653,839,4,9,attack
534,0.034,105,20,1,normal
1619,0.681,845,2,9,attack
493,0.015,127,23,0,normal
1591,0.518,807,4,6,attack
1794,0.66,942,1,9,attack
533,0.025,126,18,0,normal
488,0.03,118,20,0,normal
511,0.024,148,21,0,normal
525,0.046,143,17,0,normal
488,0.024,100,19,0,normal
1601,0.658,933,4,6,attack
1717,0.431,841,2,8,attack
535,0.037,139,17,0,normal
521,0.014,110,18,0,normal
485,0.032,141,23,0,normal
505,0.021,147,22,0,normal
524,0.044,117,19,0,normal
487,0.048,119,15,0,normal
519,0.011,109,19,0,normal
1730,0.618,826,2,11,attack
1770,0.568,982,4,7,attack
521,0.037,115,15,0,normal
1794,0.611,977,1,10,attack
534,0.042,127,22,0,normal
541,0.043,145,15,0,normal
520,0.033,113,20,0,normal
484,0.022,119,24,1,normal
1555,0.423,847,2,13,attack
1688,0.674,845,1,13,attack
1783,0.586,908,2,10,attack
535,0.041,126,23,0,normal
494,0.025,107,19,0,normal
482,0.034,114,19,0,normal
526,0.012,125,24,0,normal
546,0.01,116,19,1,normal
1599,0.614,853,4,7,attack
507,0.047,127,15,0,normal
503,0.035,137,17,0,normal
1702,0.52,817,4,11,attack
526,0.046,145,18,0,normal
1400,0.41,861,2,13,attack
498,0.02,124,17,0,normal
534,0.037,116,15,0,normal
520,0.037,137,22,0,normal
490,0.029,106,21,1,normal
488,0.015,104,21,0,normal
486,0.017,125,24,0,normal
1695,0.4,952,1,5,attack
530,0.017,103,22,0,normal
527,0.039,129,18,0,normal
516,0.012,147,16,0,normal
549,0.031,109,16,0,normal
1784,0.613,800,4,6,attack
1419,0.459,895,2,10,attack
519,0.03,141,19,0,normal
1511,0.47,964,4,6,attack
504,0.036,112,23,0,normal
1546,0.595,932,4,6,attack
519,0.034,102,20,0,normal
506,0.044,101,24,0,normal
535,0.049,143,19,0,normal
532,0.019,147,22,0,normal
484,0.028,117,16,0,normal
507,0.034,104,15,0,normal
1454,0.428,833,4,8,attack
526,0.046,147,19,0,normal
539,0.013,111,21,0,normal
512,0.01,149,24,0,normal
533,0.046,139,15,0,normal
1543,0.603,970,3,11,attack
503,0.039,144,15,0,normal
485,0.039,106,24,0,normal
1647,0.46,817,4,7,attack
544,0.043,113,17,0,normal
524,0.017,135,22,0,normal
534,0.026,145,22,0,normal
1666,0.623,804,1,7,attack
509,0.046,112,23,0,normal
531,0.015,117,15,0,normal
514,0.044,130,19,0,normal
538,0.021,145,16,0,normal
497,0.047,106,21,0,normal
545,0.013,148,21,0,normal
1405,0.527,802,4,9,attack
482,0.043,103,17,0,normal
524,0.038,110,22,0,normal
529,0.011,133,22,0,normal
1598,0.438,834,1,9,attack
526,0.015,111,23,0,normal
548,0.032,107,18,0,normal
517,0.028,114,17,0,normal
544,0.05,107,18,0,normal
532,0.028,122,19,0,normal
1567,0.559,965,1,10,attack
1709,0.451,852,2,9,attack
484,0.028,137,15,0,normal
1611,0.486,815,4,13,attack
524,0.045,141,22,0,normal
1470,0.57,984,2,6,attack
518,0.047,109,20,0,normal
507,0.035,140,21,0,normal
1596,0.506,896,2,13,attack
500,0.023,104,21,0,normal
529,0.01,148,17,0,normal
494,0.049,143,16,0,normal
1469,0.456,952,3,5,attack
539,0.042,106,21,0,normal
524,0.04,143,15,0,normal
547,0.03,125,18,0,normal
500,0.045,129,20,0,normal
1762,0.668,936,2,12,attack
511,0.023,119,22,0,normal
483,0.033,117,16,0,normal
525,0.016,133,18,0,normal
547,0.029,134,24,0,normal
507,0.034,141,17,0,normal
1630,0.692,882,2,14,attack
534,0.042,129,16,0,normal
507,0.034,106,23,0,normal
529,0.012,118,22,0,normal
508,0.022,119,22,0,normal
534,0.022,112,15,0,normal
1577,0.597,993,2,10,attack
549,0.036,112,16,0,normal
490,0.027,131,21,0,normal
530,0.025,136,18,0,normal
514,0.031,110,15,0,normal
1423,0.455,804,1,6,attack
533,0.028,147,20,0,normal
